parameter,mean,std,median,5.0%,95.0%,n_eff,r_hat,player_id,player_name
beta_mu[0],2.187039613723755,0.12544642388820648,2.186915874481201,1.977041482925415,2.386106252670288,557.2850166438743,1.0017656087875366,,
beta_mu[1],1.0266480445861816,0.1576145738363266,1.0281662940979004,0.78054279088974,1.2924039363861084,867.840016991164,1.0009770393371582,,
beta_mu[2],0.05368815362453461,0.1360190361738205,0.054005011916160583,-0.16223137080669403,0.2841375768184662,1352.6029533674396,1.0015439987182617,,
beta_mu[3],-0.11869501322507858,0.08102390915155411,-0.1177545040845871,-0.26017892360687256,-0.0006212358712218702,1335.3399101159898,0.9996845126152039,,
beta_sigma[0],0.2164023071527481,0.01570223830640316,0.21672526001930237,0.19075730443000793,0.2416180521249771,1440.6850471615023,0.9994785785675049,,
beta_sigma[1],0.10379157960414886,0.025842107832431793,0.10343895852565765,0.06504597514867783,0.14861418306827545,1345.5754185386484,0.9988227486610413,,
beta_sigma[2],0.003447572700679302,0.025663122534751892,0.0038655493408441544,-0.03501323610544205,0.048411332070827484,1418.1000272661697,0.9981886744499207,,
beta_sigma[3],-0.017485570162534714,0.012984935194253922,-0.017153020948171616,-0.03647051006555557,0.004152776673436165,1626.8486047811678,0.9982510805130005,,
log_sigma_pos,1.521715521812439,0.019414568319916725,1.5222231149673462,1.4889044761657715,1.5502363443374634,530.0537723241497,1.0037659406661987,,
mu_pos,6.9977312088012695,0.16493543982505798,6.9916253089904785,6.757684707641602,7.290149688720703,507.6054539885828,1.0019536018371582,,
nu_offset,3.107940435409546,0.23629708588123322,3.0943102836608887,2.756680488586426,3.521854877471924,1359.1703701845795,0.9989980459213257,,
tau_mu,1.8755810260772705,0.15803422033786774,1.8748905658721924,1.623245358467102,2.149198532104492,256.70753158598154,1.0124468803405762,,
tau_sigma,0.11222616583108902,0.02794862724840641,0.11314842104911804,0.06504715234041214,0.156802698969841,141.91187010371155,1.0243629217147827,,
z_mu[0],-0.2346343845129013,0.6174659729003906,-0.23256361484527588,-1.2449383735656738,0.7509433031082153,2393.085147833058,0.9988759756088257,00-0023500,Frank Gore
z_mu[1],0.08437469601631165,0.5891957879066467,0.0678471177816391,-0.844020664691925,1.028107762336731,1885.553996906221,0.9995568990707397,00-0025394,Adrian Peterson
z_mu[2],-0.18520773947238922,0.5793448090553284,-0.1710645854473114,-1.1192809343338013,0.7561661005020142,2071.3578164001146,0.9994016885757446,00-0027029,LeSean McCoy
z_mu[3],-0.4855292737483978,0.4057779908180237,-0.4759352207183838,-1.0685656070709229,0.22831706702709198,1497.6858428190924,0.9999114274978638,00-0027966,Mark Ingram
z_mu[4],-0.6389158964157104,0.8213105201721191,-0.6566377878189087,-2.1163220405578613,0.5163846611976624,1953.9753044961055,0.9984229803085327,00-0028063,Taiwan Jones
z_mu[5],-0.35710784792900085,0.7484242916107178,-0.3804612457752228,-1.510917067527771,0.910262405872345,2465.8589131527838,0.9985498189926147,00-0028074,Anthony Sherman
z_mu[6],-0.5228937864303589,0.4560016095638275,-0.5319373607635498,-1.2808074951171875,0.19467641413211823,1566.1003465530332,0.9987273812294006,00-0028087,Dion Lewis
z_mu[7],-0.6798279881477356,0.6195385456085205,-0.7004292607307434,-1.5523442029953003,0.4383196532726288,1529.7446487502464,0.9991908073425293,00-0029141,Alfred Morris
z_mu[8],0.335260808467865,0.4491363763809204,0.3400910198688507,-0.32639095187187195,1.2002439498901367,2213.779043610868,0.9985124468803406,00-0029239,Brandon Bolden
z_mu[9],-0.34222766757011414,0.9151771664619446,-0.35696524381637573,-1.6757466793060303,1.3202898502349854,1684.9529399255034,0.9994013905525208,00-0029615,Lamar Miller
z_mu[10],-0.2681904435157776,0.7197172045707703,-0.2882714867591858,-1.4870041608810425,0.8736593127250671,1332.9567917586007,0.9986259937286377,00-0030107,Theo Riddick
z_mu[11],-0.3553312122821808,0.3919304311275482,-0.37301474809646606,-0.9615728855133057,0.2946525812149048,1819.1369625893874,0.9984294176101685,00-0030288,Rex Burkhead
z_mu[12],0.8393759727478027,0.7388820052146912,0.8666223287582397,-0.5448811650276184,1.9132981300354004,2071.5975240935586,1.0003292560577393,00-0030404,Chris Thompson
z_mu[13],0.01049923524260521,0.5087974667549133,0.002684130100533366,-0.8103002309799194,0.8925524353981018,1586.0580872901687,0.9982396960258484,00-0030456,Giovani Bernard
z_mu[14],-0.7076335549354553,0.8039790987968445,-0.7169129848480225,-2.208705425262451,0.41075068712234497,1765.1704353019222,0.9987049102783203,00-0030465,Kenjon Barner
z_mu[15],0.0500386580824852,0.5167694687843323,0.05391434580087662,-0.874798059463501,0.7963472604751587,1522.7916981229944,1.0000499486923218,00-0030496,Le'Veon Bell
z_mu[16],0.27285271883010864,0.32883405685424805,0.27388888597488403,-0.28761762380599976,0.7947267889976501,2263.471939141185,0.9994728565216064,00-0030513,Latavius Murray
z_mu[17],-0.030846942216157913,0.33338624238967896,-0.049120381474494934,-0.567145824432373,0.4946216940879822,1576.27945661976,1.0034602880477905,00-0030578,Cordarrelle Patterson
z_mu[18],-0.6295257210731506,0.571289598941803,-0.634800910949707,-1.6020660400390625,0.2853778302669525,1710.833458991117,0.9993374943733215,00-0030874,Damien Williams
z_mu[19],-0.36335882544517517,0.47828900814056396,-0.36251866817474365,-1.1851351261138916,0.3857167661190033,1477.6013256732397,0.9992514252662659,00-0031045,Carlos Hyde
z_mu[20],0.9145523309707642,0.6589112281799316,0.9191854000091553,-0.11078204214572906,2.0495166778564453,2165.7038288656754,0.9989306330680847,00-0031062,James White
z_mu[21],-0.4626663327217102,0.999672532081604,-0.4745875597000122,-2.014146327972412,1.2718487977981567,1713.4340408991352,0.9983997941017151,00-0031209,Senorise Perry
z_mu[22],0.7296069264411926,0.62919020652771,0.731510579586029,-0.23384320735931396,1.8076248168945312,2190.4338891570696,0.9983031749725342,00-0031285,Devonta Freeman
z_mu[23],0.6918231248855591,0.4233865737915039,0.6956480741500854,-0.014284101314842701,1.345606803894043,2070.8051201679964,0.9984742403030396,00-0031376,Jerick McKinnon
z_mu[24],0.6456912755966187,0.43092432618141174,0.6373971700668335,-0.06444598734378815,1.3235310316085815,2335.0541286613147,0.9984536170959473,00-0031687,Raheem Mostert
z_mu[25],-0.6296781301498413,0.3738251030445099,-0.6227931976318359,-1.209847331047058,0.00603557238355279,2487.3206792625524,0.9993089437484741,00-0031806,Malcolm Brown
z_mu[26],-0.5267056822776794,0.5062930583953857,-0.538651168346405,-1.2914156913757324,0.32883885502815247,1915.030644516919,1.0011616945266724,00-0032058,Tevin Coleman
z_mu[27],-0.2847610116004944,0.5452657341957092,-0.2842597961425781,-1.1801036596298218,0.5863946080207825,1787.2029698931453,0.9998310208320618,00-0032063,Mike Davis
z_mu[28],0.12487379461526871,0.278323769569397,0.10683828592300415,-0.3755050003528595,0.5325337052345276,1436.7441503160915,0.9983171820640564,00-0032104,Ameer Abdullah
z_mu[29],0.8510498404502869,0.5006872415542603,0.8313570022583008,0.021845873445272446,1.640645146369934,2367.990136507863,0.9995477795600891,00-0032144,Melvin Gordon
z_mu[30],0.20137102901935577,0.45604759454727173,0.21154791116714478,-0.557011604309082,0.9216463565826416,2292.051810139147,0.9990209937095642,00-0032187,David Johnson
z_mu[31],-0.06645376980304718,0.8394657969474792,-0.05871705710887909,-1.4930063486099243,1.1938849687576294,2123.311819554272,0.9986335635185242,00-0032209,T.J. Yeldon
z_mu[32],0.07495985180139542,0.6912393569946289,0.07079877704381943,-0.963429868221283,1.2481356859207153,1926.6134664352976,0.9989466071128845,00-0032241,Todd Gurley
z_mu[33],0.35338252782821655,0.614108681678772,0.3469173014163971,-0.7452088594436646,1.2485843896865845,2243.0969935421012,0.9992111921310425,00-0032257,Duke Johnson
z_mu[34],-0.07816575467586517,0.6332249045372009,-0.09288262575864792,-1.035811424255371,0.990097165107727,1825.1054187762586,0.9992390275001526,00-0032393,C.J. Prosise
z_mu[35],-0.3309877812862396,0.5798057913780212,-0.34599506855010986,-1.243709683418274,0.6957032084465027,2504.686948614561,0.9990068078041077,00-0032404,Tyler Ervin
z_mu[36],0.17795078456401825,0.6174095869064331,0.18583455681800842,-0.8704955577850342,1.171642780303955,1830.5077101245363,0.998720109462738,00-0032426,Alex Collins
z_mu[37],-0.77268385887146,0.4799802303314209,-0.7623790502548218,-1.5856088399887085,-0.021119771525263786,1726.641451056927,0.9985636472702026,00-0032450,Dwayne Washington
z_mu[38],-0.6748605370521545,0.8058367967605591,-0.7023320198059082,-1.9811893701553345,0.6326926946640015,2031.9802147486673,0.9986270070075989,00-0032577,D.J. Foster
z_mu[39],1.0929034948349,0.5021280646324158,1.096415400505066,0.3661523163318634,1.9895758628845215,1676.7804562618396,0.998503565788269,00-0032602,J.D. McKissic
z_mu[40],-0.5937594175338745,0.446033775806427,-0.6034325361251831,-1.33745276927948,0.14672818779945374,1718.5540797152164,0.9994311332702637,00-0032741,Peyton Barber
