parameter,mean,std,median,5.0%,95.0%,n_eff,r_hat,player_id,player_name
beta_mu[0],1.0751084089279175,0.32185128331184387,1.0867297649383545,0.5246196985244751,1.5755150318145752,792.5898471640071,1.0003241300582886,,
beta_mu[1],0.5341557264328003,0.2984417974948883,0.5398201942443848,0.03697226196527481,0.9967798590660095,960.6658559421169,1.0021511316299438,,
beta_mu[2],0.11697318404912949,0.24908165633678436,0.11370815336704254,-0.27144235372543335,0.522747814655304,959.5677301929085,1.0017868280410767,,
beta_mu[3],0.007997492328286171,0.2720192074775696,0.005935979075729847,-0.406044065952301,0.4784461557865143,1025.9311722016234,0.9993178844451904,,
beta_sigma[0],0.1388782113790512,0.06485692411661148,0.13846206665039062,0.036219388246536255,0.24674664437770844,922.6489741977958,0.9991206526756287,,
beta_sigma[1],0.10357528179883957,0.06460945308208466,0.10299113392829895,0.004289163276553154,0.21457409858703613,936.3954668061947,0.9984320402145386,,
beta_sigma[2],0.0658121258020401,0.05659686028957367,0.06758984923362732,-0.025890525430440903,0.162354975938797,1061.089234521045,1.0004417896270752,,
beta_sigma[3],-0.059755679219961166,0.05800194665789604,-0.05945633724331856,-0.15424995124340057,0.03517484664916992,1076.6407880052657,0.9998527765274048,,
log_sigma_pos,1.2026628255844116,0.027990221977233887,1.2034305334091187,1.1562920808792114,1.2472467422485352,545.2436278820517,1.003320336341858,,
mu_pos,4.7197794914245605,0.14358897507190704,4.723568916320801,4.452604293823242,4.93086576461792,398.20640333490434,1.0014513731002808,,
nu_offset,3.535602569580078,0.31495511531829834,3.5169034004211426,3.000408887863159,4.016112327575684,1705.4155967256588,0.9993272423744202,,
tau_mu,1.3890340328216553,0.15915845334529877,1.3885529041290283,1.1317402124404907,1.6509913206100464,175.81805174150344,0.9990510940551758,,
tau_sigma,0.23562121391296387,0.02672729454934597,0.2357274293899536,0.18813064694404602,0.27363377809524536,252.57619867117205,1.0121424198150635,,
z_mu[0],-0.1130349263548851,0.5468569397926331,-0.1374669075012207,-1.0383678674697876,0.7446956634521484,1941.8944816780588,0.9990835785865784,00-0022127,Jason Witten
z_mu[1],-0.10031712055206299,0.3586534261703491,-0.08989675343036652,-0.7613233327865601,0.4277116060256958,1954.6714669326445,0.9985646605491638,00-0024243,Marcedes Lewis
z_mu[2],-0.15201616287231445,0.683982789516449,-0.15763050317764282,-1.165170431137085,1.0170092582702637,2126.0753270355153,0.9996345639228821,00-0025418,Greg Olsen
z_mu[3],1.3764649629592896,0.6043870449066162,1.3703038692474365,0.3489808440208435,2.3306825160980225,2031.6604220489842,0.9986717104911804,00-0027061,Jared Cook
z_mu[4],1.6587361097335815,0.7243487238883972,1.6691240072250366,0.47158852219581604,2.869429588317871,1726.4231999068993,0.9996234774589539,00-0027656,Rob Gronkowski
z_mu[5],0.9929953217506409,0.6078887581825256,1.0035409927368164,0.0139934616163373,1.9275379180908203,2596.3574354791617,0.9982190728187561,00-0027696,Jimmy Graham
z_mu[6],-0.03337375819683075,0.4075993299484253,-0.037131138145923615,-0.782326877117157,0.5618624687194824,2118.989621820661,0.9983558058738708,00-0027981,Kyle Rudolph
z_mu[7],-0.6600871682167053,0.4208911061286926,-0.6596725583076477,-1.395056128501892,0.01770944707095623,2388.445326151314,0.9980095624923706,00-0028042,Luke Stocker
z_mu[8],-0.07449313253164291,0.656396746635437,-0.11270075291395187,-1.0752965211868286,1.1029211282730103,2311.6273195581825,0.9986832141876221,00-0028097,Lee Smith
z_mu[9],-0.1582493931055069,0.7959067225456238,-0.14788246154785156,-1.5013391971588135,1.0709691047668457,1710.9909407126831,1.0004805326461792,00-0028142,Virgil Green
z_mu[10],-0.050309229642152786,0.8111417889595032,-0.06701764464378357,-1.2547698020935059,1.300247073173523,2362.990222701868,0.9982612133026123,00-0029119,Derek Carrier
z_mu[11],0.22962714731693268,0.6657747030258179,0.2158801257610321,-0.7953001856803894,1.341113567352295,3266.2000248906743,0.999002993106842,00-0029738,Darren Fells
z_mu[12],1.5011855363845825,0.4708920419216156,1.4955971240997314,0.7387983798980713,2.200831174850464,1771.492118565733,0.9986990094184875,00-0030061,Zach Ertz
z_mu[13],-0.5653541684150696,0.9338231682777405,-0.5848247408866882,-1.9924602508544922,1.0314160585403442,3121.250592995272,0.9982562065124512,00-0030089,Luke Willson
