
                     mean       std    median      5.0%     95.0%     n_eff     r_hat
     beta_mu[0]      1.72      0.37      1.73      1.15      2.31   1058.84      1.00
     beta_mu[1]     -0.03      0.34     -0.03     -0.60      0.48   1308.30      1.00
     beta_mu[2]      0.79      0.35      0.79      0.16      1.31   1221.40      1.00
     beta_mu[3]      0.50      0.36      0.50     -0.04      1.11   1252.03      1.00
     beta_mu[4]      0.91      0.17      0.91      0.62      1.18   1392.46      1.00
  beta_sigma[0]      0.02      0.03      0.02     -0.04      0.07   1094.66      1.00
  beta_sigma[1]     -0.00      0.03     -0.00     -0.05      0.06   1229.30      1.00
  beta_sigma[2]      0.04      0.04      0.04     -0.02      0.09   1516.12      1.00
  beta_sigma[3]      0.03      0.04      0.03     -0.03      0.09   1394.14      1.00
  beta_sigma[4]      0.03      0.01      0.03      0.00      0.05   1611.64      1.00
  log_sigma_pos      2.02      0.01      2.02      1.99      2.04   1649.76      1.00
         mu_pos     11.98      0.39     11.99     11.37     12.62    399.20      1.01
      nu_offset     90.08     40.03     82.44     30.38    143.22   1909.57      1.00
         tau_mu      3.29      0.36      3.28      2.69      3.84    265.75      1.01
      tau_sigma      0.04      0.02      0.04      0.00      0.07    219.03      1.01
        z_mu[0]      1.57      0.34      1.57      1.03      2.07   1334.02      1.00
        z_mu[1]      0.98      0.54      0.98      0.11      1.84   2003.67      1.00
        z_mu[2]     -0.58      0.93     -0.59     -1.94      1.10   3457.60      1.00
        z_mu[3]      0.80      0.39      0.81      0.13      1.39   1359.46      1.00
        z_mu[4]      0.60      0.50      0.59     -0.20      1.43   1876.79      1.00
        z_mu[5]     -0.11      0.61     -0.11     -1.03      0.92   1968.61      1.00
        z_mu[6]      1.53      0.32      1.52      0.99      2.00    896.21      1.00
        z_mu[7]      0.42      0.57      0.42     -0.53      1.31   1959.39      1.00
        z_mu[8]      0.52      0.34      0.50     -0.00      1.08    995.43      1.00
        z_mu[9]      0.75      0.41      0.75      0.06      1.40   1420.86      1.00
       z_mu[10]     -1.16      0.58     -1.15     -2.09     -0.24   2977.01      1.00
       z_mu[11]     -0.94      0.59     -0.91     -1.99     -0.06   1660.57      1.00
       z_mu[12]      1.11      0.28      1.11      0.69      1.59    979.17      1.00
       z_mu[13]     -0.95      0.59     -0.93     -1.91      0.00   1612.92      1.00
       z_mu[14]     -1.17      0.60     -1.19     -2.12     -0.19   1909.53      1.00
       z_mu[15]     -0.65      0.49     -0.66     -1.45      0.11   2841.65      1.00
