,team,avg_wins,avg_losses,avg_points_for,avg_points_against,playoff_pct,semifinalist_pct,finalist_pct,champion_pct,punishment_bracket_pct,punished_pct
0,The Sage's Playmakers,8.2122,5.7878,2003.255902608388,1858.2738991986726,81.49,25.319999999999997,25.319999999999997,14.000000000000002,8.25,0.97
1,Hunter’s Hunters,7.9174,6.0826,1974.324532954716,1862.173512771089,77.4,22.54,22.54,11.65,11.0,1.32
2,No Punts Intented,7.7039,6.2961,1947.9179849582977,1862.2716498217453,73.21,19.53,19.53,9.93,13.77,1.71
3,Supernova’s Studs,7.6338,6.3662,1943.4681706214421,1867.0431774711885,72.04,19.17,19.17,9.74,14.17,2.2800000000000002
4,Go With The Flow,7.6257,6.3743,1942.5725691099283,1866.0265332296367,71.97,19.25,19.25,10.12,14.96,2.04
5,Tsuga’s Tuck Shop,7.6255,6.3745,1933.2618445338446,1857.1004637886033,71.2,18.34,18.34,9.49,15.45,2.19
6,Revy’s Konstruction,7.5181,6.4819,1923.4894757330449,1864.2819017671995,69.13,18.01,18.01,9.3,16.38,2.26
7,Girder’s Grippers,7.3982,6.6018,1890.4355105147827,1842.0502271969071,65.24,15.459999999999999,15.459999999999999,7.199999999999999,19.15,3.17
8,Pad D's,7.1373,6.8627,1866.4169630551592,1848.8635737035572,59.38,13.63,13.63,6.16,23.69,4.66
9,Hungry Hungry Hokk,7.1353,6.8647,1869.3573661016337,1853.4995468993052,58.879999999999995,12.26,12.26,5.7299999999999995,23.18,3.61
10,Maître Magic,6.6569,7.3431,1833.0575914866552,1870.4989711657927,48.57,9.47,9.47,4.22,32.62,6.16
11,Ozzy Stick,5.7286,8.2714,1722.0550634346523,1875.3410854189872,26.32,3.9699999999999998,3.9699999999999998,1.54,56.07,14.530000000000001
12,Omaha Beach Real Estate,5.0765,8.9235,1647.5895445336482,1880.1051721251329,15.049999999999999,2.03,2.03,0.64,71.63000000000001,23.52
13,Deej-lanta Falcons,4.6306,9.3694,1596.9549240727345,1886.627729161093,10.12,1.02,1.02,0.27999999999999997,79.67999999999999,31.580000000000002
